	Trial	RiskType	RewardType	ResponseType	Reward	Shock	SubjID
0	1	1	2	1.0	0.53	0	1
1	2	2	1	1.0	0.13	0	1
2	3	2	3	1.0	0.91	1	1
3	4	3	1	0.0	0.15	1	1
4	5	1	2	1.0	0.61	0	1
5	6	3	1	1.0	0.31	1	1
6	7	3	3	1.0	0.79	1	1
7	8	1	1	0.0	0.1	0	1
8	9	3	2	1.0	0.58	1	1
9	10	3	2	1.0	0.36	1	1
10	11	1	3	1.0	0.82	0	1
11	12	3	1	0.0	0.22	1	1
12	13	3	3	1.0	0.87	0	1
13	14	1	2	1.0	0.45	0	1
14	15	2	3	1.0	0.7	0	1
15	16	1	1	1.0	0.27	0	1
16	17	2	2	1.0	0.4	0	1
17	18	1	1	1.0	0.18	0	1
18	19	1	3	1.0	0.74	0	1
19	20	3	2	0.0	0.52	1	1
20	21	1	1	1.0	0.34	0	1
21	22	3	3	1.0	0.7	1	1
22	23	2	2	1.0	0.65	0	1
23	24	2	2	1.0	0.49	1	1
24	25	2	2	1.0	0.57	0	1
25	26	2	1	1.0	0.22	1	1
26	27	1	2	1.0	0.4	1	1
27	28	2	1	1.0	0.27	1	1
28	29	1	3	1.0	0.88	0	1
29	30	3	1	1.0	0.09	1	1
30	31	3	2	1.0	0.44	1	1
31	32	3	3	1.0	0.95	1	1
32	33	2	3	1.0	0.75	1	1
33	34	2	1	0.0	0.06	1	1
34	35	2	3	1.0	0.83	0	1
35	36	1	3	0.0	0.66	0	1
36	37	3	3	0.0	0.84	1	1
37	38	1	3	1.0	0.93	0	1
38	39	3	1	0.0	0.2	1	1
39	40	3	2	1.0	0.41	1	1
40	41	1	2	1.0	0.59	0	1
41	42	1	3	1.0	0.85	0	1
42	43	3	3	1.0	0.92	1	1
43	44	2	3	1.0	0.8	0	1
44	45	1	2	1.0	0.37	0	1
45	46	1	3	1.0	0.8	1	1
46	47	2	2	1.0	0.62	0	1
47	48	2	1	0.0	0.11	1	1
48	49	3	2	1.0	0.5	1	1
49	50	3	2	1.0	0.63	1	1
50	51	2	3	0.0	0.89	0	1
51	52	1	3	1.0	0.71	0	1
52	53	2	1	0.0	0.19	1	1
53	54	2	2	1.0	0.46	0	1
54	55	3	1	0.0	0.07	0	1
56	57	2	3	1.0	0.67	1	1
57	58	2	1	1.0	0.25	0	1
58	59	3	1	0.0	0.28	1	1
59	60	1	1	1.0	0.32	0	1
60	61	3	3	1.0	0.68	1	1
61	62	1	1	1.0	0.07	0	1
62	63	2	2	1.0	0.54	1	1
63	64	2	3	1.0	0.75	1	1
65	66	1	2	1.0	0.5	0	1
66	67	3	1	0.0	0.14	1	1
68	69	1	2	1.0	0.45	0	1
69	70	2	2	1.0	0.38	1	1
70	71	3	3	1.0	0.76	1	1
71	72	1	1	1.0	0.16	0	1
73	74	2	1	1.0	0.24	1	1
75	76	1	2	1.0	0.56	0	1
76	77	3	3	1.0	0.81	1	1
77	78	2	3	1.0	0.94	0	1
79	80	3	1	0.0	0.33	1	1
80	81	1	2	1.0	0.42	0	1
81	82	1	3	1.0	0.69	0	1
82	83	2	3	1.0	0.72	0	1
83	84	1	1	0.0	0.12	0	1
84	85	3	2	1.0	0.55	1	1
86	87	3	2	1.0	0.47	1	1
87	88	3	1	0.0	0.12	1	1
88	89	2	1	1.0	0.17	1	1
89	90	1	2	1.0	0.64	0	1
90	91	1	1	0.0	0.05	0	1
93	94	1	3	1.0	0.77	1	1
94	95	3	1	0.0	0.17	1	1
95	96	2	3	1.0	0.78	1	1
96	97	2	2	1.0	0.43	1	1
98	99	3	3	0.0	0.73	0	1
99	100	2	1	0.0	0.3	0	1
100	101	1	3	1.0	0.9	0	1
101	102	3	1	1.0	0.26	1	1
102	103	1	2	1.0	0.48	0	1
103	104	2	1	1.0	0.08	0	1
104	105	3	3	1.0	0.9	1	1
106	107	2	2	1.0	0.35	0	1
0	1	1	2	1	0.53	0	2
1	2	2	1	0	0.13	0	2
2	3	2	3	1	0.91	1	2
3	4	3	1	0	0.15	1	2
4	5	1	2	1	0.61	0	2
5	6	3	1	1	0.31	1	2
6	7	3	3	1	0.79	1	2
7	8	1	1	0	0.1	0	2
8	9	3	2	1	0.58	1	2
9	10	3	2	1	0.36	1	2
10	11	1	3	1	0.82	0	2
11	12	3	1	1	0.22	1	2
12	13	3	3	1	0.87	0	2
13	14	1	2	1	0.45	0	2
14	15	2	3	1	0.7	0	2
15	16	1	1	1	0.27	0	2
16	17	2	2	1	0.4	0	2
17	18	1	1	1	0.18	0	2
18	19	1	3	1	0.74	0	2
19	20	3	2	1	0.52	1	2
20	21	1	1	1	0.34	0	2
21	22	3	3	1	0.7	1	2
22	23	2	2	1	0.65	0	2
23	24	2	2	1	0.49	1	2
24	25	2	2	1	0.57	0	2
25	26	2	1	1	0.22	1	2
26	27	1	2	1	0.4	1	2
27	28	2	1	1	0.27	1	2
28	29	1	3	1	0.88	0	2
29	30	3	1	0	0.09	1	2
30	31	3	2	1	0.44	1	2
31	32	3	3	1	0.95	1	2
32	33	2	3	1	0.75	1	2
33	34	2	1	0	0.06	1	2
34	35	2	3	1	0.83	0	2
35	36	1	3	1	0.66	0	2
36	37	3	3	1	0.84	1	2
37	38	1	3	1	0.93	0	2
38	39	3	1	1	0.2	1	2
39	40	3	2	1	0.41	1	2
40	41	1	2	1	0.59	0	2
41	42	1	3	1	0.85	0	2
42	43	3	3	1	0.92	1	2
43	44	2	3	1	0.8	0	2
44	45	1	2	1	0.37	0	2
45	46	1	3	1	0.8	1	2
46	47	2	2	1	0.62	0	2
47	48	2	1	0	0.11	1	2
48	49	3	2	1	0.5	1	2
49	50	3	2	1	0.63	1	2
50	51	2	3	1	0.89	0	2
51	52	1	3	1	0.71	0	2
52	53	2	1	1	0.19	1	2
53	54	2	2	1	0.46	0	2
54	55	3	1	0	0.07	0	2
55	56	3	2	1	0.55	1	2
56	57	2	3	1	0.67	1	2
57	58	2	1	1	0.25	0	2
58	59	3	1	1	0.28	1	2
59	60	1	1	1	0.32	0	2
60	61	3	3	1	0.68	1	2
61	62	1	1	0	0.07	0	2
62	63	2	2	1	0.54	1	2
63	64	2	3	1	0.75	1	2
64	65	1	1	1	0.23	0	2
65	66	1	2	1	0.5	0	2
66	67	3	1	0	0.14	1	2
67	68	2	1	1	0.32	0	2
68	69	1	2	1	0.45	0	2
69	70	2	2	1	0.38	1	2
70	71	3	3	1	0.76	1	2
71	72	1	1	1	0.16	0	2
72	73	3	2	1	0.39	1	2
73	74	2	1	1	0.24	1	2
74	75	2	3	1	0.86	0	2
75	76	1	2	1	0.56	0	2
76	77	3	3	1	0.81	1	2
77	78	2	3	1	0.94	0	2
78	79	2	2	1	0.51	1	2
79	80	3	1	1	0.33	1	2
80	81	1	2	1	0.42	0	2
81	82	1	3	1	0.69	0	2
82	83	2	3	1	0.72	0	2
83	84	1	1	0	0.12	0	2
84	85	3	2	1	0.55	1	2
85	86	1	1	1	0.21	0	2
86	87	3	2	1	0.47	1	2
87	88	3	1	0	0.12	1	2
88	89	2	1	1	0.17	1	2
89	90	1	2	1	0.64	0	2
90	91	1	1	0	0.05	0	2
91	92	1	3	1	0.85	0	2
92	93	1	1	1	0.29	0	2
93	94	1	3	1	0.77	1	2
94	95	3	1	1	0.17	1	2
95	96	2	3	1	0.78	1	2
96	97	2	2	1	0.43	1	2
97	98	3	3	1	0.65	1	2
98	99	3	3	1	0.73	0	2
99	100	2	1	1	0.3	0	2
100	101	1	3	1	0.9	0	2
101	102	3	1	1	0.26	1	2
102	103	1	2	1	0.48	0	2
103	104	2	1	0	0.08	0	2
104	105	3	3	1	0.9	1	2
105	106	2	2	1	0.6	1	2
106	107	2	2	1	0.35	0	2
107	108	3	2	1	0.6	1	2
0	1	1	2	1	0.53	0	3
1	2	2	1	1	0.13	0	3
2	3	2	3	1	0.91	1	3
3	4	3	1	1	0.15	1	3
4	5	1	2	1	0.61	0	3
5	6	3	1	1	0.31	1	3
6	7	3	3	1	0.79	1	3
7	8	1	1	1	0.1	0	3
8	9	3	2	1	0.58	1	3
9	10	3	2	1	0.36	1	3
10	11	1	3	1	0.82	0	3
11	12	3	1	1	0.22	1	3
12	13	3	3	1	0.87	0	3
13	14	1	2	1	0.45	0	3
14	15	2	3	1	0.7	0	3
15	16	1	1	1	0.27	0	3
16	17	2	2	1	0.4	0	3
17	18	1	1	1	0.18	0	3
18	19	1	3	1	0.74	0	3
19	20	3	2	1	0.52	1	3
20	21	1	1	1	0.34	0	3
21	22	3	3	1	0.7	1	3
22	23	2	2	1	0.65	0	3
23	24	2	2	1	0.49	1	3
24	25	2	2	1	0.57	0	3
25	26	2	1	1	0.22	1	3
26	27	1	2	1	0.4	1	3
27	28	2	1	1	0.27	1	3
28	29	1	3	1	0.88	0	3
29	30	3	1	1	0.09	1	3
30	31	3	2	1	0.44	1	3
31	32	3	3	1	0.95	1	3
32	33	2	3	1	0.75	1	3
33	34	2	1	1	0.06	1	3
34	35	2	3	1	0.83	0	3
35	36	1	3	1	0.66	0	3
36	37	3	3	1	0.84	1	3
37	38	1	3	1	0.93	0	3
38	39	3	1	1	0.2	1	3
39	40	3	2	1	0.41	1	3
40	41	1	2	1	0.59	0	3
41	42	1	3	1	0.85	0	3
42	43	3	3	1	0.92	1	3
43	44	2	3	1	0.8	0	3
44	45	1	2	1	0.37	0	3
45	46	1	3	1	0.8	1	3
46	47	2	2	1	0.62	0	3
47	48	2	1	1	0.11	1	3
48	49	3	2	1	0.5	1	3
49	50	3	2	1	0.63	1	3
50	51	2	3	1	0.89	0	3
51	52	1	3	1	0.71	0	3
52	53	2	1	1	0.19	1	3
53	54	2	2	1	0.46	0	3
54	55	3	1	1	0.07	0	3
55	56	3	2	1	0.55	1	3
56	57	2	3	1	0.67	1	3
57	58	2	1	1	0.25	0	3
58	59	3	1	1	0.28	1	3
59	60	1	1	1	0.32	0	3
60	61	3	3	1	0.68	1	3
61	62	1	1	1	0.07	0	3
62	63	2	2	1	0.54	1	3
63	64	2	3	1	0.75	1	3
64	65	1	1	1	0.23	0	3
65	66	1	2	1	0.5	0	3
66	67	3	1	1	0.14	1	3
67	68	2	1	1	0.32	0	3
68	69	1	2	1	0.45	0	3
69	70	2	2	1	0.38	1	3
70	71	3	3	1	0.76	1	3
71	72	1	1	1	0.16	0	3
72	73	3	2	1	0.39	1	3
73	74	2	1	1	0.24	1	3
74	75	2	3	1	0.86	0	3
75	76	1	2	1	0.56	0	3
76	77	3	3	1	0.81	1	3
77	78	2	3	1	0.94	0	3
78	79	2	2	1	0.51	1	3
79	80	3	1	1	0.33	1	3
80	81	1	2	1	0.42	0	3
81	82	1	3	1	0.69	0	3
82	83	2	3	1	0.72	0	3
83	84	1	1	1	0.12	0	3
84	85	3	2	1	0.55	1	3
85	86	1	1	1	0.21	0	3
86	87	3	2	1	0.47	1	3
87	88	3	1	1	0.12	1	3
88	89	2	1	1	0.17	1	3
89	90	1	2	1	0.64	0	3
90	91	1	1	1	0.05	0	3
91	92	1	3	1	0.85	0	3
92	93	1	1	1	0.29	0	3
