	Trial	RiskType	RewardType	ResponseType	Reward	Shock
0	1	1	2	1.0	0.53	0
1	2	2	1	1.0	0.13	0
2	3	2	3	1.0	0.91	1
3	4	3	1	0.0	0.15	1
4	5	1	2	1.0	0.61	0
5	6	3	1	1.0	0.31	1
6	7	3	3	1.0	0.79	1
7	8	1	1	0.0	0.1	0
8	9	3	2	1.0	0.58	1
9	10	3	2	1.0	0.36	1
10	11	1	3	1.0	0.82	0
11	12	3	1	0.0	0.22	1
12	13	3	3	1.0	0.87	0
13	14	1	2	1.0	0.45	0
14	15	2	3	1.0	0.7	0
15	16	1	1	1.0	0.27	0
16	17	2	2	1.0	0.4	0
17	18	1	1	1.0	0.18	0
18	19	1	3	1.0	0.74	0
19	20	3	2	0.0	0.52	1
20	21	1	1	1.0	0.34	0
21	22	3	3	1.0	0.7	1
22	23	2	2	1.0	0.65	0
23	24	2	2	1.0	0.49	1
24	25	2	2	1.0	0.57	0
25	26	2	1	1.0	0.22	1
26	27	1	2	1.0	0.4	1
27	28	2	1	1.0	0.27	1
28	29	1	3	1.0	0.88	0
29	30	3	1	1.0	0.09	1
30	31	3	2	1.0	0.44	1
31	32	3	3	1.0	0.95	1
32	33	2	3	1.0	0.75	1
33	34	2	1	0.0	0.06	1
34	35	2	3	1.0	0.83	0
35	36	1	3	0.0	0.66	0
36	37	3	3	0.0	0.84	1
37	38	1	3	1.0	0.93	0
38	39	3	1	0.0	0.2	1
39	40	3	2	1.0	0.41	1
40	41	1	2	1.0	0.59	0
41	42	1	3	1.0	0.85	0
42	43	3	3	1.0	0.92	1
43	44	2	3	1.0	0.8	0
44	45	1	2	1.0	0.37	0
45	46	1	3	1.0	0.8	1
46	47	2	2	1.0	0.62	0
47	48	2	1	0.0	0.11	1
48	49	3	2	1.0	0.5	1
49	50	3	2	1.0	0.63	1
50	51	2	3	0.0	0.89	0
51	52	1	3	1.0	0.71	0
52	53	2	1	0.0	0.19	1
53	54	2	2	1.0	0.46	0
54	55	3	1	0.0	0.07	0
56	57	2	3	1.0	0.67	1
57	58	2	1	1.0	0.25	0
58	59	3	1	0.0	0.28	1
59	60	1	1	1.0	0.32	0
60	61	3	3	1.0	0.68	1
61	62	1	1	1.0	0.07	0
62	63	2	2	1.0	0.54	1
63	64	2	3	1.0	0.75	1
65	66	1	2	1.0	0.5	0
66	67	3	1	0.0	0.14	1
68	69	1	2	1.0	0.45	0
69	70	2	2	1.0	0.38	1
70	71	3	3	1.0	0.76	1
71	72	1	1	1.0	0.16	0
73	74	2	1	1.0	0.24	1
75	76	1	2	1.0	0.56	0
76	77	3	3	1.0	0.81	1
77	78	2	3	1.0	0.94	0
79	80	3	1	0.0	0.33	1
80	81	1	2	1.0	0.42	0
81	82	1	3	1.0	0.69	0
82	83	2	3	1.0	0.72	0
83	84	1	1	0.0	0.12	0
84	85	3	2	1.0	0.55	1
86	87	3	2	1.0	0.47	1
87	88	3	1	0.0	0.12	1
88	89	2	1	1.0	0.17	1
89	90	1	2	1.0	0.64	0
90	91	1	1	0.0	0.05	0
93	94	1	3	1.0	0.77	1
94	95	3	1	0.0	0.17	1
95	96	2	3	1.0	0.78	1
96	97	2	2	1.0	0.43	1
98	99	3	3	0.0	0.73	0
99	100	2	1	0.0	0.3	0
100	101	1	3	1.0	0.9	0
101	102	3	1	1.0	0.26	1
102	103	1	2	1.0	0.48	0
103	104	2	1	1.0	0.08	0
104	105	3	3	1.0	0.9	1
106	107	2	2	1.0	0.35	0
