onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResultOnset	ResponseOnset	ResponseTime	ShockOnset
10.5628	15.8128	1	1	1	2	0.53	0	0	10.5	0	0.11531	10.5628	11.1265	n/a	14.0301	n/a	n/a	n/a
25.4259	30.6759	2	2	1	1	0.13	0	1	9.625	0	15.7783	25.4259	25.9332	0	28.9083	28.248	2.3148	n/a
42.0409	47.2909	3	2	1	3	0.91	1	0	11.375	1	30.6579	42.0409	42.5585	1	45.5374	45.4956	2.9371	46.77
56.9349	62.1849	4	3	1	1	0.15	1	1	9.625	1	47.2933	56.9349	57.4348	0	60.4174	58.7267	1.2919	n/a
72.6888	77.9388	5	1	1	2	0.61	0	1	10.5	0	62.1671	72.6888	73.1891	1	76.1634	74.7981	1.609	n/a
89.3134	94.5634	6	3	1	1	0.31	1	0	11.375	0	77.9131	89.3134	89.8136	0	92.7927	91.0534	1.2398	n/a
105.0709	110.3209	7	3	1	3	0.79	1	0	10.5	0	94.5492	105.0709	105.5711	0	108.539	106.8368	1.2656	n/a
120.8194	126.0694	8	1	1	1	0.1	0	0	10.5	0	110.3067	120.8194	121.3193	1	124.2965	122.6844	1.3651	n/a
135.6823	140.9323	9	3	1	2	0.58	1	1	9.625	0	126.0514	135.6823	136.19899999999998	0	139.1704	137.5718	1.3728	n/a
152.3118	157.5618	10	3	1	2	0.36	1	0	11.375	1	140.9311	152.3118	152.8283	0	155.7949	154.3715	1.5432	n/a
168.0746	173.3246	11	1	1	3	0.82	0	0	10.5	1	157.5458	168.0746	168.5745	1	171.55700000000004	170.731	2.1565	n/a
183.8251	189.0751	12	3	1	1	0.22	1	0	10.5	1	173.3066	183.8251	184.3254	0	187.3031	185.6338	1.3085	n/a
199.5501	204.8001	13	3	1	3	0.87	0	0	10.5	1	189.0608	199.5501	200.0835	0	203.0507	201.3773	1.2938	n/a
215.3298	220.5798	14	1	1	2	0.45	0	0	10.5	0	204.8017	215.3298	215.8297	1	218.8122	217.3366	1.5069	n/a
230.2095	235.4595	15	2	1	3	0.7	0	1	9.625	0	220.5617	230.2095	230.7094	0	233.682	232.0646	1.3552	n/a
245.9557	251.2057	16	1	1	1	0.27	0	1	10.5	1	235.4415	245.9557	246.4556	1	249.4395	247.6878	1.2322	n/a
262.585	267.835	17	2	1	2	0.4	0	0	11.375	0	251.1904	262.585	263.0794	0	266.0674	264.4233	1.3439	n/a
278.3367	283.5867	18	1	1	1	0.18	0	0	10.5	1	267.817	278.3367	278.837	1	281.8215	279.9106	1.0736	n/a
294.0776	299.3276	19	1	1	3	0.74	0	0	10.5	0	283.5725	294.0776	294.5777	1	297.5624	295.5502	0.97255	n/a
309.8234	315.0734	20	3	1	2	0.52	1	0	10.5	1	299.326	309.8234	310.3401	0	313.3226	311.5496	1.2095	n/a
324.7199	329.9699	21	1	1	1	0.34	0	1	9.625	0	315.0722	324.7199	325.2091	1	328.2023	326.2848	1.0757	n/a
341.3334	346.5834	22	3	1	3	0.7	1	0	11.375	1	329.9519	341.3334	341.8504	0	344.8184	342.8602	1.0098	n/a
356.2239	361.4739	23	2	1	2	0.65	0	1	9.625	0	346.5812	356.2239	356.7288	0	359.6947	358.2999	1.5711	n/a
372.8484	378.0984	24	2	1	2	0.49	1	0	11.375	1	361.4442	372.8484	373.3487	0	376.3333	374.5628	1.2142	n/a
387.7222	392.9722	25	2	1	2	0.57	0	1	9.625	0	378.0842	387.7222	388.2225	0	391.2071	389.4582	1.2357	n/a
403.4841	408.7341	26	2	1	1	0.22	1	1	10.5	1	392.958	403.4841	403.984	0	406.9499	405.114	1.1301	n/a
420.1043	425.3543	27	1	1	2	0.4	1	0	11.375	1	408.7161	420.1043	420.6045	1	423.5892	421.6813	1.0768	424.8214
435.8451	441.0951	28	2	1	1	0.27	1	0	10.5	1	425.34	435.8451	436.362	0	439.342	437.7288	1.3668	n/a
451.6193	456.8693	29	1	1	3	0.88	0	0	10.5	1	441.0916	451.6193	452.1056	1	455.088	453.5921	1.4865	n/a
466.4931	471.7431	30	3	1	1	0.09	1	1	9.625	0	456.8384	466.4931	466.9933	0	469.9679	468.3754	1.3821	n/a
482.2483	487.4983	31	3	1	2	0.44	1	1	10.5	1	471.7175	482.2483	482.7341	0	485.7187	483.7666	1.0325	n/a
498.861	504.111	32	3	1	3	0.95	1	0	11.375	0	487.4803	498.861	499.3754	0	502.3434	500.5661	1.1907	n/a
514.6238	519.8738	33	2	1	3	0.75	1	0	10.5	1	504.0942	514.6238	515.1237	1	518.1008	516.8291	1.7054	519.3358
530.3735	535.6235	34	2	1	1	0.06	1	0	10.5	0	519.8558	530.3735	530.8737	0	533.8584	532.4691	1.5954	n/a
545.2497	550.4997	35	2	1	3	0.83	0	1	9.625	0	535.6092	545.2497	545.7495	0	548.732	547.0122	1.2626	n/a
561.0047	566.2547	36	1	1	3	0.66	0	1	10.5	1	550.4830000000002	561.0047	561.505	1	564.4781	562.724	1.2191	n/a
576.7587	582.0087	37	3	2	3	0.84	1	1	10.5	1	566.2405	576.7587	577.2625	0	580.241	578.4031	1.1407	n/a
592.5049	597.7549	38	1	2	3	0.93	0	1	10.5	0	581.9907	592.5049	593.0048	1	595.9879	594.4822	1.4774	n/a
609.1443	614.3943	39	3	2	1	0.2	1	0	11.375	1	597.7388	609.1443	609.6341	0	612.6165	610.6019	0.96783	n/a
624.0013	629.2513	40	3	2	2	0.41	1	1	9.625	1	614.3662	624.0013	624.5183	0	627.4963	625.393	0.8747	n/a
639.7601	645.0101	41	1	2	2	0.59	0	1	10.5	1	629.2459	639.7601	640.26	1	643.2438	641.9047	1.6448	n/a
655.4996	660.7496	42	1	2	3	0.85	0	1	10.5	1	644.9946	655.4996	656.0060000000002	1	659.0014	657.3603	1.3543	n/a
672.1522	677.4022	43	3	2	3	0.92	1	0	11.375	1	660.7549	672.1522	672.6521	0	675.6259	673.5918	0.93965	n/a
687.0319999999998	692.2819999999998	44	2	2	3	0.8	0	1	9.625	0	677.3768	687.0319999999998	687.515	1	690.4997	689.3107	1.7956	n/a
702.7781	708.0281	45	1	2	2	0.37	0	1	10.5	0	692.2505	702.7781	703.278	1	706.2605	704.7585	1.4805	n/a
718.5298	723.7798	46	1	2	3	0.8	1	1	10.5	1	708.0101	718.5298	719.03	1	722.0068	720.2462	1.2162	723.242
734.2872	739.5372	47	2	2	2	0.62	0	1	10.5	0	723.7655	734.2872	734.7875	0	737.7554	736.5413	1.7538	n/a
750.0333	755.2833	48	2	2	1	0.11	1	1	10.5	0	739.5064	750.0333	750.5332	0	753.5156	752.0047	1.4715	n/a
766.6626	771.9126	49	3	2	2	0.5	1	0	11.375	0	755.2653	766.6626	767.1625	0	770.145	768.3957	1.2332	n/a
781.5264	786.7764	50	3	2	2	0.63	1	1	9.625	0	771.8946	781.5264	782.0422	0	785.0114	783.1706	1.1284	n/a
798.1677	803.4177	51	2	2	3	0.89	0	0	11.375	1	786.7743	798.1677	798.6715	0	801.6374	800.0504	1.3789	n/a
813.0414	818.2914	52	1	2	3	0.71	0	1	9.625	0	803.3872	813.0414	813.5513	1	816.5264	815.0822	1.5309	n/a
829.6661	834.9161	53	2	2	1	0.19	1	0	11.375	1	818.2772	829.6661	830.1663	0	833.1508	832.0815	1.9153	n/a
845.4268	850.6768	54	2	2	2	0.46	0	0	10.5	1	834.9018	845.4268	845.9238	0	848.8925	847.2488	1.3251	n/a
860.2973	865.5473	55	3	2	1	0.07	0	1	9.625	0	850.6593	860.2973	860.7975	0	863.7822	862.4882	1.6907	n/a
876.9219	882.1719	56	3	2	2	0.55	1	0	11.375	1	865.5331	876.9219	877.4221	0	880.4068	878.5594	1.1373	n/a
891.7989	897.0489	57	2	2	3	0.67	1	1	9.625	1	882.1577	891.7989	892.2959	0	895.2813	894.007	1.7112	n/a
908.4202	913.6702	58	2	2	1	0.25	0	0	11.375	1	897.0314	908.4202	908.9205	0	911.9106	910.2622	1.3417	n/a
924.1777	929.4277	59	3	2	1	0.28	1	0	10.5	1	913.6602	924.1777	924.6743	0	927.6625	925.5819	0.90766	n/a
939.0374	944.2874	60	1	2	1	0.32	0	1	9.625	0	929.4135	939.0374	939.5373	1	942.5364	940.6455	1.1082	n/a
954.8003	960.0503	61	3	2	3	0.68	1	1	10.5	1	944.2872	954.8003	955.3002	0	958.2938	957.949	2.6489	n/a
970.5498	975.7998	62	1	2	1	0.07	0	1	10.5	0	960.0489	970.5498	971.05	1	974.0456	972.9399	1.8899	n/a
987.1758	992.4258	63	2	2	2	0.54	1	0	11.375	0	975.7951	987.1758	987.6756	1	990.6592	989.2354	1.5597	991.9058
1002.9219	1008.1719	64	2	2	3	0.75	1	0	10.5	0	992.4268	1002.9219	1003.4322	0	1006.4209	1005.227	1.7948	n/a
1017.8057	1023.0557	65	1	2	1	0.23	0	1	9.625	0	1008.1706	1017.8057	1018.3059	1	1021.3007	1019.5064	1.2005	n/a
1033.5631	1038.8131	66	1	2	2	0.5	0	1	10.5	0	1023.0581	1033.5631	1034.0476	1	1037.048	1035.0419	0.9943	n/a
1050.1877	1055.4377	67	3	2	1	0.14	1	0	11.375	0	1038.7989	1050.1877	1050.688	0	1053.6762	1052.1212	1.4332	n/a
1065.0615	1070.3115	68	2	2	1	0.32	0	1	9.625	0	1055.4258	1065.0615	1065.5617	1	1068.5559	1068.0567	2.4949	n/a
1081.6861	1086.9361	69	1	2	2	0.45	0	0	11.375	1	1070.3138	1081.6861	1082.1863	1	1085.1876	1083.7521	1.5658	n/a
1097.4436	1102.6936	70	2	2	2	0.38	1	0	10.5	0	1086.9385	1097.4436	1097.9438	1	1100.9313	1100.0795	2.1357	1102.1727
1112.3172	1117.5672	71	3	2	3	0.76	1	1	9.625	0	1102.696	1112.3172	1112.8174	0	1115.8188	1114.5429	1.7255	n/a
1128.9419	1134.1919	72	1	2	1	0.16	0	0	11.375	0	1117.5698	1128.9419	1129.442	1	1132.4436	1130.6538	1.2118	n/a
1143.8211	1149.0711	73	3	3	2	0.39	1	1	9.625	0	1134.1944	1143.8211	1144.3208	0	1147.32	1145.7814	1.4606	n/a
1159.5732	1164.8232	74	2	3	1	0.24	1	1	10.5	0	1149.0697	1159.5732	1160.0838	0	1163.0748	1161.749	1.6652	n/a
