onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5621	15.8121	1	1	1	2	0.53	0	0	10.5	0	0.046506	10.5621	11.0791	1	11.8378	0.75872	14.03	n/a
25.4275	30.6775	2	2	1	1	0.13	0	1	9.625	0	15.7782	25.4275	25.9274	1	27.0217	1.0943	28.9105	n/a
42.0536	47.3036	3	2	1	3	0.91	1	0	11.375	1	30.6562	42.0536	42.57100000000001	1	43.5653	0.99433	45.5359	46.7693
56.9335	62.1835	4	3	1	1	0.15	1	1	9.625	1	47.2857	56.9335	57.4335	0	58.3411	0.90761	60.416	n/a
72.68	77.93	5	1	1	2	0.61	0	1	10.5	0	62.1656	72.68	73.1799	1	74.0209	0.8409700000000001	76.1623	n/a
89.3054	94.5554	6	3	1	1	0.31	1	0	11.375	0	77.9121	89.3054	89.8094	0	90.7487	0.93925	92.792	n/a
105.0559	110.3059	7	3	1	3	0.79	1	0	10.5	0	94.5416	105.0559	105.5708	1	106.9003	1.3295	108.5382	109.7766
120.8195	126.0695	8	1	1	1	0.1	0	0	10.5	0	110.3047	120.8195	121.3195	1	122.0274	0.7079300000000001	124.2858	n/a
135.6849	140.9349	9	3	1	2	0.58	1	1	9.625	0	126.0523	135.6849	136.1988	0	136.9632	0.76439	139.1678	n/a
152.3169	157.5669	10	3	1	2	0.36	1	0	11.375	1	140.9178	152.3169	152.8284	1	153.875	1.0466	155.7997	157.0344
168.0749	173.3249	11	1	1	3	0.82	0	0	10.5	1	157.5497	168.0749	168.5748	1	169.4106	0.83581	171.5485	n/a
183.8213	189.0713	12	3	1	1	0.22	1	0	10.5	1	173.30700000000004	183.8213	184.3212	0	185.314	0.99282	187.3036	n/a
199.5677	204.8177	13	3	1	3	0.87	0	0	10.5	1	189.0534	199.5677	200.0676	0	201.0342	0.96665	203.0501	n/a
215.3142	220.5642	14	1	1	2	0.45	0	0	10.5	0	204.8165	215.3142	215.814	1	216.6813	0.86726	218.8131	n/a
230.194	235.444	15	2	1	3	0.7	0	1	9.625	0	220.5629	230.194	230.6939	1	231.5369	0.843	233.6765	n/a
245.9424	251.1924	16	1	1	1	0.27	0	1	10.5	1	235.4432	245.9424	246.4423	1	247.3765	0.9342	249.4397	n/a
262.5701	267.8201	17	2	1	2	0.4	0	0	11.375	0	251.1919	262.5701	263.0743	1	263.8801	0.80581	266.069	n/a
278.323	283.573	18	1	1	1	0.18	0	0	10.5	1	267.8238	278.323	278.823	1	279.9277	1.1048	281.8154	n/a
294.0795	299.3295	19	1	1	3	0.74	0	0	10.5	0	283.5725	294.0795	294.5794	1	295.3598	0.78047	297.5712	n/a
309.8259	315.0759	20	3	1	2	0.52	1	0	10.5	1	299.3282	309.8259	310.3258	0	311.3993	1.0735	313.3251	n/a
